"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321261,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,8,398078.53235602,138317.44722014,
74321262,146,9th & Upshur St NW,31404,38.9418,-77.0251,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,10,397824.00484445,141545.75347825,
74321263,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,12,398934.23503524,138616.78618346,
74321264,148,Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,19,397967.52637558,140031.11212412,
74321265,149,California St & Florida Ave NW,31116,38.917761,-77.04062,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,18,396477.34162756,138877.70174796,
74321266,150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,YES,NO,1969-12-31T20:00:00.000Z,,NO,14,5,405445.68021157,135789.87902946,
74321267,151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,YES,NO,1969-12-31T20:00:00.000Z,,NO,11,4,395179.17550824,140268.32354902,
74321268,152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,10,403459.51281234,136522.41355417,
74321269,153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,10,395065.75667991,137475.86623703,
74321270,154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,YES,NO,1969-12-31T20:00:00.000Z,,NO,2,13,401425.5417836,135497.84971905,
74321271,155,Congress Heights Metro,31806,38.844711,-76.987823,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,10,401057.09871953,130767.87922723,
74321272,156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,YES,NO,1969-12-31T20:00:00.000Z,,NO,3,6,390651.55922442,134290.2570428,
74321273,157,Wilson Blvd & N Oakland St,31033,38.8815,-77.10396,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,6,390979.77106772,134856.79270568,
74321274,158,N Veitch  & 20th St N,31029,38.896923,-77.086502,YES,NO,1969-12-31T20:00:00.000Z,,NO,8,6,392496.15967477,136567.28510903,
74321275,159,11th & K St NW,31263,38.90268,-77.02674,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,8,397680.55623394,137203.14274008,
